YEAR,MONTH,CITY,REALSUM,ROOM_TYPE,HOST_IS_SUPERHOST,MULTI,BIZ,GUEST_SATISFACTION_OVERALL,BEDROOMS,DIST,LNG,LAT,CLEANLINESS_RATING,HOST_RESPONSE_TIME,REVIEWS_PER_MONTH
2020,february,istanbul,153.14,private room,true,true,yes,4.2,5.0,85.9,23.306107,53.918315,3.7,21.8,5.2
2020,may,amsterdam,235.89,private room,false,false,no,6.3,5.0,3.12,-1.249937,57.194861,3.0,4.22,23.8
2017,december,paris,311.23,entire home/apt,true,false,no,4.8,3.0,11.772669491525424,-1.075102,55.634684,4.4,2.0,7.7
2015,july,istanbul,239.91002745512148,shared room,false,true,yes,3.3,5.0,7.12,11.749884,48.681945,4.138266384778013,6.71,1.9
2022,april,barcelona,214.63,shared room,true,false,yes,4.2,5.0,9.13,14.136342,48.462156,3.2,17.9,17.3
2021,december,paris,163.17,private room,false,true,yes,3.8,1.0,9.21,22.75367,64570.488407405915,3.7,23.1,13.406927138331573
2016,may,istanbul,352.72,shared room,false,false,yes,3.8,-3.0,65.6,14.848379,58.844854,6.3,22.0,13.406927138331573
2021,may,amsterdam,160.48,entire home/apt,true,false,no,4.5,2.0,8.26,-1.049041,64570.488407405915,4.7,14.8,23.2
2022,february,paris,319.77,private room,true,true,no,4.9,4.0,87.0,16.453756,52.985251,6.4,11.4,14.1
2021,may,rome,93.364,shared room,true,true,no,3.1,4.0,5.94,-7.922088,64570.488407405915,3.1,11.37399577167019,22.9
2019,september,london,226.37,private room,false,false,yes,5.3,1.0,63.3,1.370869,58.39665,3.1,8.1,12.7
2019,july,rome,239.91002745512148,entire home/apt,true,false,no,3.5,5.0,96.3,-7.215012,46.210717,3.3,6.11,9.91
2018,may,london,72.25,shared room,true,false,yes,4.7,4.0,5.1,28.354359,47.790387,8.3,2.8,6.0
2021,may,paris,347.51,private room,true,false,yes,3.0,2.0,2.4,2.325005,46.396173,3.9,18.2,13.5
2021,february,paris,90.683,shared room,false,false,no,3.4,1.0,11.772669491525424,-4.5942,41.123618,5.3,17.9,13.406927138331573
2015,march,paris,71.42,private room,true,true,no,4.1723991507431,2.0,3.15,-1.735285,52.310047,4.2,20.0,13.406927138331573
2016,october,london,23.422,shared room,false,false,no,4.5,4.0,57.4,27778.172614387302,57.782004,4.138266384778013,11.37399577167019,4.7
2022,december,istanbul,454.88,shared room,false,false,yes,14.0,3.0,53.2,-7.764047,53.695704,4.138266384778013,11.37399577167019,13.406927138331573
2017,october,barcelona,272.54,private room,false,false,yes,4.0,4.0,5.12,18.019048,584901.55,4.3,5.4,4.4
2016,december,london,339.46,private room,false,true,yes,3.5,3.0,0.8,27778.172614387302,48.943336,4.3,11.3,18.1
2015,march,prague,207.83,private room,false,true,yes,3.2,3.0,8.07,27.273161,48.086185,3.0,3.2,10.0
2019,december,istanbul,441.3,shared room,false,true,yes,4.1723991507431,5.0,4.06,27778.172614387302,671938.95,1.3,8.5,22.4
2015,january,barcelona,311.93,entire home/apt,false,false,yes,3.5,2.0,27.4,973533.3,64570.488407405915,4.3,18.4,8.9
2015,october,prague,239.91002745512148,private room,true,false,no,3.4,1.0,1.34,27778.172614387302,46.953295,5.3,11.37399577167019,15.2
2021,february,paris,244.4,private room,true,true,yes,3.3,5.0,3.78,9.200145,920602.94,5.0,10.3,2.4
2023,july,london,305.9,shared room,false,false,no,5.0,1.0,11.772669491525424,25224.72,725032.35,4.4,6.2,24.4
2023,june,rome,19.591,private room,true,false,yes,4.4,2.0,1.63,152103.71,64570.488407405915,4.7,22.2,2.6
